Date,Close/Last,Volume,Open,High,Low
05/15/2024,$202.11,8369975,$202.01,$202.69,$199.77
05/14/2024,$201.51,8596175,$199.00,$201.58,$198.16
05/13/2024,$198.73,7049241,$198.80,$199.85,$198.04
05/10/2024,$198.77,7529790,$198.54,$199.3399,$198.27
05/09/2024,$197.50,7977291,$195.17,$197.59,$195.10
05/08/2024,$195.65,9227561,$191.00,$196.65,$191.00
05/07/2024,$191.75,7688771,$191.70,$192.93,$191.65
05/06/2024,$192.00,7911134,$191.73,$192.20,$189.815
05/03/2024,$190.51,8922775,$192.00,$192.529,$188.46
05/02/2024,$191.66,6501657,$193.07,$193.50,$189.52
05/01/2024,$191.86,7446703,$192.27,$194.46,$190.79
04/30/2024,$191.74,8153681,$192.81,$194.99,$191.64
04/29/2024,$193.28,5411129,$193.48,$194.26,$192.43
04/26/2024,$193.49,6413655,$193.57,$194.87,$193.06
04/25/2024,$193.37,9802265,$192.25,$193.935,$191.18
04/24/2024,$193.08,6964905,$190.53,$193.23,$190.17
04/23/2024,$192.14,9144372,$191.13,$192.225,$190.52
04/22/2024,$189.41,11529670,$185.99,$190.125,$185.98
04/19/2024,$185.80,13402310,$182.40,$185.88,$181.41
04/18/2024,$181.25,9557720,$181.10,$183.36,$179.97
04/17/2024,$180.08,9017093,$181.37,$182.4199,$179.20
04/16/2024,$180.80,16451800,$182.90,$183.16,$179.65
04/15/2024,$182.89,14766590,$184.50,$187.46,$182.195
04/12/2024,$182.79,31532310,$188.32,$188.93,$182.54
04/11/2024,$195.43,10137700,$196.00,$196.57,$193.24
04/10/2024,$195.47,7681377,$195.55,$197.07,$194.18
04/09/2024,$197.15,7358631,$198.07,$198.88,$194.91
04/08/2024,$198.48,8000963,$197.62,$198.98,$197.62
04/05/2024,$197.45,6532278,$196.16,$198.1224,$195.11
04/04/2024,$195.65,9243793,$199.15,$199.68,$195.55
04/03/2024,$198.30,9353426,$199.04,$199.56,$197.70
04/02/2024,$198.86,7014683,$198.39,$199.78,$198.08
04/01/2024,$198.94,7309009,$199.99,$200.94,$198.565
03/28/2024,$200.30,8628313,$199.49,$200.72,$198.54
03/27/2024,$199.52,8725757,$196.50,$199.60,$196.38
03/26/2024,$195.73,5961484,$194.59,$196.66,$194.0554
03/25/2024,$194.82,8620015,$196.60,$196.94,$194.36
03/22/2024,$196.62,8108840,$199.01,$200.48,$196.54
03/21/2024,$199.06,11203800,$196.52,$199.43,$196.33
03/20/2024,$196.33,9367043,$194.19,$196.56,$193.61
03/19/2024,$193.79,8478717,$192.71,$193.93,$192.38
03/18/2024,$192.66,9013843,$190.63,$192.70,$189.89
03/15/2024,$190.30,17214230,$186.48,$190.94,$186.48
03/14/2024,$187.97,10310950,$191.03,$191.63,$187.103
03/13/2024,$191.38,7795535,$190.36,$191.73,$189.84
03/12/2024,$189.84,5708384,$188.95,$190.16,$187.91
03/11/2024,$188.29,5762569,$187.28,$188.44,$186.22
03/08/2024,$188.22,6172199,$188.44,$190.455,$187.92
03/07/2024,$187.87,7618277,$189.91,$190.50,$186.63
03/06/2024,$189.53,7572891,$189.25,$190.07,$187.63
03/05/2024,$188.55,6617832,$186.36,$189.30,$186.36
03/04/2024,$186.68,7063605,$184.71,$187.59,$184.27
03/01/2024,$185.29,6311996,$185.70,$186.44,$185.10
02/29/2024,$186.06,9643012,$185.66,$186.43,$183.85
